location,residential_complex,district,rooms_count,total_meters,floor,floors_count,underground,price,price_for_m
Москва,Движение. Говорово ЖК,Фрунзенская,1,36.73,4,15,Солнцево,7880813,214560
Москва,Молжаниново ЖК,Молжаниновский,1,40.78,13,17,Новоподрезково,7890655,193493
Москва,Алхимово ЖК,Фрунзенская,1,34.19,5,15,Щербинка,7852878,229683
Москва,Новое Внуково ЖК,Фрунзенская,1,37.04,8,9,Рассказовка,7886631,212922
Москва,Новое Внуково ЖК,Фрунзенская,1,37.04,6,9,Рассказовка,7894187,213125
Москва,Молжаниново ЖК,Молжаниновский,1,33.04,2,13,Новоподрезково,7869071,238168
Москва,Подольские Кварталы ЖК,Фрунзенская,1,38.27,7,9,Силикатная,7882410,205968
Москва,Молжаниново ЖК,Молжаниновский,1,40.76,2,13,Новоподрезково,7881741,193369
Москва,Середневский Лес ЖК,Фрунзенская,1,34.5,4,9,Филатов Луг,7895497,228854
Москва,Борисоглебское,Фрунзенская,1,36.2,2,3,Апрелевка,7891600,217999
Москва,Квартал Западный ЖК,Фрунзенская,1,41.45,12,14,Рассказовка,7930266,191321
Москва,Новая Звезда ЖК,Фрунзенская,1,26.3,8,22,Прокшино,7995200,303999
Москва,"Новые Ватутинки, мкр. Заречный",Фрунзенская,1,33.2,2,11,Кедровая,7995000,240813
Москва,Родные кварталы ЖК,Фрунзенская,1,33.9,3,9,Толстопальцево,7903030,233127
Москва,Остафьево ЖК,Фрунзенская,1,33.31,9,14,Щербинка,7932594,238144
Москва,Akvilon Signal,Отрадное,1,23.5,12,23,Владыкино,7926292,337289
Москва,Алхимово ЖК,Фрунзенская,1,35.56,5,15,Щербинка,7925627,222880
Москва,Цветочные Поляны,Фрунзенская,1,40.2,9,16,Филатов Луг,7994303,198863
